Lat,Lon,GYear
29.770633,-95.414819,1983
33.57612,-117.73638,1983
35.521573,-97.574376,1983
42.071476,-88.049239,1983
35.521573,-97.574376,1983
44.492901,-73.081591,1983
38.790084,-77.280669,1983
41.770672,-76.44749,1983
40.844283,-74.574152,1983
43.088842,-77.599683,1983
33.57612,-117.73638,1983
40.486,-74.465,1983
40.486,-74.465,1983
33.57612,-117.73638,1983
41.770672,-76.44749,1983
42.134339,-83.153677,1983
42.071476,-88.049239,1983
39.338199,-76.9723,1983
37.852539,-122.019112,1983
33.57612,-117.73638,1983
40.641449,-74.382226,1983
40.045461,-75.387632,1983
41.494448,-82.020479,1983
40.045461,-75.387632,1983
33.871269,-118.371584,1983
40.045461,-75.387632,1983
42.071476,-88.049239,1983
39.171649,-76.852986,1983
42.815656,-73.942324,1983
41.494448,-82.020479,1983
41.021378,-73.805692,1983
33.998974,-117.965163,1983
44.827962,-93.378236,1983
34.217534,-118.367514,1983
41.783823,-88.146897,1983
37.852539,-122.019112,1983
37.629876,-122.103025,1983
40.486,-74.465,1983
42.071476,-88.049239,1983
40.301688,-79.538092,1984
39.171649,-76.852986,1984
42.815656,-73.942324,1984
33.57612,-117.73638,1984
33.998974,-117.965163,1984
34.001758,-118.394799,1984
35.521573,-97.574376,1984
42.071476,-88.049239,1984
32.980136,-117.082337,1984
40.844283,-74.574152,1984
40.486,-74.465,1984
38.803177,-77.058685,1984
42.815656,-73.942324,1984
40.725101,-111.939531,1984
42.815656,-73.942324,1984
41.087432,-81.515568,1984
42.134339,-83.153677,1984
42.134339,-83.153677,1984
40.301688,-79.538092,1984
42.071476,-88.049239,1984
40.045461,-75.387632,1984
40.045461,-75.387632,1984
42.071476,-88.049239,1984
42.815656,-73.942324,1984
33.767496,-118.187712,1984
41.685996,-73.896069,1984
33.57612,-117.73638,1984
34.001758,-118.394799,1984
34.210263,-118.570594,1984
35.75562,-77.944711,1984
42.815656,-73.942324,1984
42.071476,-88.049239,1984
38.803177,-77.058685,1984
42.134339,-83.153677,1984
33.57612,-117.73638,1984
42.071476,-88.049239,1984
42.815656,-73.942324,1984
45.66142,-111.113994,1984
42.071476,-88.049239,1984
40.593164,-74.619513,1984
39.148558,-77.074173,1984
42.85146,-73.79898,1984
40.725101,-111.939531,1984
42.85146,-73.79898,1984
40.725101,-111.939531,1984
40.725101,-111.939531,1984
40.725101,-111.939531,1984
40.725101,-111.939531,1984
42.071476,-88.049239,1985
33.57612,-117.73638,1985
33.57612,-117.73638,1985
47.87263,-122.270929,1985
38.790084,-77.280669,1985
34.489743,-120.039532,1985
39.111974,-76.553563,1985
42.318527,-71.157052,1985
42.318527,-71.157052,1985
34.489743,-120.039532,1985
41.55553,-87.497888,1985
33.998974,-117.965163,1985
42.85146,-73.79898,1985
41.685996,-73.896069,1985
40.045461,-75.387632,1985
34.001758,-118.394799,1985
39.085561,-84.513589,1985
34.799674,-87.675698,1985
41.62236,-85.98378,1985
42.071476,-88.049239,1985
